Run_Timestamp_ET,Ticker,Close,Price_Increase_%_5Bars,Status,Development_Signal,Latest_Real_Day,Stale_Bars_Last5
2026-09-24 19:41:53 EDT,XAIR,3.17,7.823,PRICE,True,2026-09-24,0
2026-09-24 19:41:53 EDT,SHPH,3.98,7.33,PRICE,True,2026-09-24,0
2026-09-24 19:41:53 EDT,UK,2.1,5.808,PRICE,True,2026-09-24,0
2026-09-24 19:41:53 EDT,SONM,3.95,5.615,PRICE,True,2026-09-24,0
2026-09-24 19:41:53 EDT,BENF,1.45,4.618,PRICE,True,2026-09-24,0
2026-09-24 19:45:31 EDT,XAIR,3.17,7.823,PRICE,True,2026-09-24,0
2026-09-24 19:45:31 EDT,SHPH,3.98,7.33,PRICE,True,2026-09-24,0
2026-09-24 19:45:31 EDT,UK,2.1,5.808,PRICE,True,2026-09-24,0
2026-09-24 19:45:31 EDT,SONM,3.95,5.615,PRICE,True,2026-09-24,0
2026-09-24 19:45:31 EDT,BENF,1.45,4.618,PRICE,True,2026-09-24,0
2026-09-24 19:52:15 EDT,UWMC,1.23,2.51,PRICE,True,2026-09-24,0
2026-09-24 19:52:15 EDT,HTZ,1.76,2.023,PRICE,True,2026-09-24,0
2026-09-24 19:52:15 EDT,PFSA,3.03,1.508,PRICE,True,2026-09-24,0
2026-09-24 19:52:15 EDT,BENF,1.45,4.618,PRICE,True,2026-09-24,0
2026-09-24 19:52:15 EDT,XAIR,3.17,7.823,PRICE,True,2026-09-24,0
2026-09-24 19:53:35 EDT,UWMC,1.23,2.51,PRICE,True,2026-09-24,0
2026-09-24 19:53:35 EDT,HTZ,1.76,2.023,PRICE,True,2026-09-24,0
2026-09-24 19:53:35 EDT,PFSA,3.03,1.508,PRICE,True,2026-09-24,0
2026-09-24 19:53:35 EDT,BENF,1.45,4.618,PRICE,True,2026-09-24,0
2026-09-24 19:53:35 EDT,XAIR,3.17,7.823,PRICE,True,2026-09-24,0
2026-09-24 20:15:02 EDT,UWMC,1.23,2.51,PRICE,True,2026-09-24,0
2026-09-24 20:15:02 EDT,HTZ,1.76,2.023,PRICE,True,2026-09-24,0
2026-09-24 20:15:02 EDT,PFSA,3.03,1.508,PRICE,True,2026-09-24,0
2026-09-24 20:15:02 EDT,BENF,1.45,4.618,PRICE,True,2026-09-24,0
2026-09-24 20:15:02 EDT,XAIR,3.17,7.823,PRICE,True,2026-09-24,0
2026-09-24 20:15:08 EDT,UWMC,1.23,2.51,PRICE,True,2026-09-24,0
2026-09-24 20:15:08 EDT,HTZ,1.76,2.023,PRICE,True,2026-09-24,0
2026-09-24 20:15:08 EDT,PFSA,3.03,1.508,PRICE,True,2026-09-24,0
2026-09-24 20:15:08 EDT,BENF,1.45,4.618,PRICE,True,2026-09-24,0
2026-09-24 20:15:08 EDT,XAIR,3.17,7.823,PRICE,True,2026-09-24,0
2026-09-24 20:18:01 EDT,PFSA,3.03,1.508,PRICE,True,2026-09-24,0
2026-09-24 20:18:01 EDT,XAIR,3.17,7.823,PRICE,True,2026-09-24,0
2026-09-24 20:18:01 EDT,SKYQ,2.91,1.923,PRICE,True,2026-09-24,0
2026-09-24 20:18:01 EDT,YDES,4.75,3.259,PRICE,True,2026-09-24,0
2026-09-24 20:18:01 EDT,EVCM,8.45,2.486,PRICE,True,2026-09-24,0
2026-09-24 20:18:43 EDT,PFSA,3.03,1.508,PRICE,True,2026-09-24,0
2026-09-24 20:18:43 EDT,XAIR,3.17,7.823,PRICE,True,2026-09-24,0
2026-09-24 20:18:43 EDT,SKYQ,2.91,1.923,PRICE,True,2026-09-24,0
2026-09-24 20:18:43 EDT,YDES,4.75,3.259,PRICE,True,2026-09-24,0
2026-09-24 20:18:43 EDT,EVCM,8.45,2.486,PRICE,True,2026-09-24,0
